id,teks,emosi
1,bu sri mulyani diganti,negatif
2,Aku deg²kan Ketika Sri Mulyani diganti,negatif
3,BREAKING NEWS Isu Reshuffle Kabinet Kementrian keuangan Sri Mulyani yang menahkodai kementrian ini diisukan bakal diganti Menyebabkan sektor finance turun tajam hari ini menjelang closing market,negatif
4,Sri Mulyani diganti IHSG langsung merah Asik bisa nyeroook,negatif
5,Presiden Prabowo Reshuffle Kabinet Merah Putih amp Legalisasi Kementerian Haji dan Umrah Menteri Keuangan Sri Mulyani diganti Purbaya Yudhi Sadewo Yg diganti a Menko Polkam Budi Gunawan b Menteri Perlindungan PMI Karding c Menkop Budi Arie d Menpora Dito Ariotedjo Raja Juli,negatif
6,Akhirnya Menkeu Sri Mulyani diganti Purbaya Yudhi Sadewa Lulusan ITB Interesting,negatif
7,Kemaren pada ribut minta Sri mulyani diganti Sekarang dah diganti malah pada makin panik dan unrest Be careful what you wish for,negatif
8,Sri Mulyani diganti,negatif
9,Ternyata gerhana bulan blood moon memang berpengaruh ke IHSG Bulannya merah ihsgnya merah Masalah katanya karenaibu sri mulyani diganti itu cuma jadi katalis aja agar terjadi,negatif
10,sri mulyani diganti busri,negatif
11,Sri Mulyani diganti Purbaya,negatif
12,Banyak teman saya sedih ibu Sri Mulyani diganti Klo saya sih ya biasa aja Mungkin jd bagian dari orang orang yg memang gak terlalu berasa kebijakan fiskal kecuali pajak yg semakin besar pasca pandemi Mungkin saya jg tone deaf kali ya Terlalu pragmatis,negatif
13,Ternyata Bu Sri Mulyani bisa diganti juga,negatif
14,WADUH Rupiah Diramal Kebakaran Gara Gara Sri Mulyani Diganti,negatif
15,Sri Mulyani Akan Mengajar di Universitas Oxford Usai Diganti Purbaya,negatif
16,GARA GARA SRI MULYANI DIGANTI COK,negatif
17,HAHHHH ini sri mulyani diganti siapa,negatif
18,Pendukung Prabowo Gerah dengan Sri Mulyani Kapan Menteri Ini Diganti Kerjanya Hanya Memeras Rakyat,positif
19,Ibnu Khaldun dan Karl Marx itu pemikirannya sejalan dalam hal ini Sayang ibu Sri Mulyani terlalu cepat diganti oleh pak Sekarang apakah beliau juga berani mengganti pemimpin yg dibenci Machiavelli Saya rasa TIDAK,negatif
20,Menteri Keuangan Menkeu Sri Mulyani menjadi salah satu menteri yang diganti atau direshuffle oleh Presiden Prabowo Subianto pada Senin 8 9 2025 Baca di sini TA,negatif
21,sri mulyani diganti ya wkwk,negatif
22,Sri Mulyani direshuffle diganti Sri Lanka,negatif
23,Modal 7T dari mana tuh Apa karena prabowo presiden Sri mulyani diganti purbaya biar gampang cairin duit,negatif
24,Soal Sri Mulyani diganti Kata gue mah stop being emotional dan merasa memiliki keterikatan sama pejabat kalo lu masih hidup di Indonesia,negatif
25,Sri Mulyani diganti,negatif
26,Sri Mulyani diganti serius,negatif
27,omaga sri mulyani diganti,negatif
28,demi Allah gua takut ini soal sri mulyani diganti gimana kalo jadi lebih buruk like i do hate her tapi GUA TAKUT ANJIR,negatif
29,Menkeu sri mulyani diganti bapak bapak yang kata netizen bicaranya petentang petenteng,negatif
30,Kabar baik Sri Mulyani diganti Kabar buruk Sri Mulyani diganti,negatif
31,Indeks saham melemah setelah Presiden Prabowo mengganti Menteri Keuangan Sri Mulyani Mengapa,negatif
32,Sueee tiba tiba ambles IHSG ada kabar Sri Mulyani diganti akwoakwo,negatif
33,Sri mulyani diganti bendaharaku pas SMK aja,negatif
34,Sri Mulyani diganti sama yang kayak begini ini,negatif
35,sri mulyani diganti ama sri rejeki,negatif
36,wow sri mulyani diganti,negatif
37,WEEEEEH SRI MULYANI DIGANTI GUE GA SANGGUP SYOK BANGETTT SIAPA YG BISA LEBIH CAPABLE DARI DIA ANJRIT WALAU KEBIJAKANNYA LATELY JUGA KONTROVERSIAL,negatif
38,tbh kayanya bu sri mulyani diganti agak ngeri ya,negatif
39,bahaya bgt ini negara sampe sri mulyani diganti siaga 3,negatif
40,wow Sri Mulyani diganti,negatif
41,Bu Sri Mulyani diganti mari saatnya kita semua khawatirrrrr,negatif
42,Udh seneng sri mulyani diganti eh penggantinya begini,negatif
43,Sri Mulyani diganti oleh Purbaya Yudhi Sadewa sbg mentri keuangan,negatif
44,hah beneran kah sri mulyani diganti,negatif
45,Breaking news Ada rencana pergantian kabinet atau reshuffle Yang diganti dalah satunya Menteri Keuangan Sri Mulyani Indrawati Sumber,negatif
46,Bu Sri Mulyani diganti sebagai Menteri Keuangan Hyperinflation gooooooooo,negatif
47,Sri mulyani diganti gaees,negatif
48,sri mulyani diganti kah,negatif
49,Euforia Sesaat Sri Mulyani Diganti Saham Rokok Pagi Ini Terkapar,negatif
50,sri mulyani diganti srimulat,negatif
51,Video Terpopuler Sepekan Sri Mulyani Diganti Purbaya hingga Banjir Bandang Bali,negatif
52,Budi buluk cengel apa dapet ingfoA1 dekat2 ini kalau sri Mulyani diganti kan Penggantinya ngeri nga buos,negatif
53,Sri Mulyani ini harus segera diganti dan diperiksa bisa jadi dari sini awal mula Petaka Skandal Keuangan di Republik ini mas Broo,negatif
54,Rill Baru bbrp hari lalu bahas sm ibu kos kalo bu sri mulyani diganti siapa yang bisa gantiin Kejadian benerann,negatif
55,Gila efek Sri Mulyani diganti sampe Aramco anjlok,negatif
56,Apakah ini juga bentuk menyelamatkan Sri Mulyani diganti Dulu saat kasus BLBI diselamatkan IMF Sekarang ketika SM membangun UTANG SANGAT BESAR dan dampaknya kemana kemana harus bertanggungjawab MEMULIHKAN dulu alih2 diganti Enak banget ya,negatif
57,Ibu Sri Mulyani diganti,negatif
58,Saham Emiten Rokok Menguat Usai Sri Mulyani Diganti Purbaya Market,negatif
59,Duj Menteri Keuangan Bu Sri Mulyani diganti Pertanda kuat Timnas gak bakalan lolos Piala Dunia 2026 neh,negatif
60,Kok berasa sedih yah Menteri Keuangan Bu Sri Mulyani diganti terasa gmn gitu Kayak ga adil Udah dijarah pulak hiks,negatif
61,Sri mulyani diganti siapa tuh,negatif
62,Sri Mulyani diganti baek2 dah Indonesia,negatif
63,Mengapa Sri Mulyani Diganti Misteri di Balik Reshuffle Menteri Keuangan,negatif
64,JANGAN SAMPE IBU SRI MULYANI MUNDUR DARI JABATAN MENTRI KEUANGAN KARENA PIHAK PDI P DAN IMIGRAN YAMAN SEDANG MENGINCAR JABATAN MENTERI KEUANGAN RAKYAT INDONESIA JANGAN MAU DI GOBLOKIN DAN DI TIPU PDI P DAN YAMAN,negatif
65,Sri Mulyani Mundur Kenapa,negatif
66,Bu Sri Mulyani Mundur Sepertinya ini masa gelap Prabowo Bu Sri kecewa berat ketika rumahnya di jarah Sebenernya Prabowo sudah jatuh Bendahara negara tidak dilindungi negara Di mata internasional buruk sekali Apalagi tidak ada SMI sstt BG diganti Dalang rusuh,negatif
67,Kalian akan menyesal sri mulyani mundur mark my word,negatif
68,Breaking news Akhirnya Sri Mulyani mundur,negatif
69,Ini sama kayak situasi saat Sri Mulyani didesak mundur Orang orang ragu soal siapa penggantinya yg bisa sebagus amp sepower dia bisa jadi Menkeu 3 periode Eh langsung muncul Purbaya yg tak kalah garang Jangan mendewakan sesuatu Setiap orang ada masanya,negatif
70,Buntut Rumah Sri Mulyani Dijarah Sempat Dua Kali Minta Mundur,negatif
71,Sri mulyani mundur We re dumb,negatif
72,Mundur Terhormat atau Bertahan Kapolri dan Sri Mulyani di Bawah Tekanan Publik,negatif
73,Kok banyak beredar berita Sri Mulyani mundur,negatif
74,Kami kurang respect dengan ucapan2nya sesaat setelah dipilih sebagai Menkeu pengganti Sri Mulyani apalagi terhadap sikap tengil anaknya Tetapi bukan berarti hoax boleh kita biarkan merajalela Cukup Bu Sri Mulyani saja yg jadi korban hoax sehingga akhirnya mundur,negatif
75,Bu Sri Mulyani mundur terlepas dr cocotee semoga yg gantiin lebih bagus dr kinerja dia,negatif
76,sri mulyani mundur,negatif
77,BREAKING NEWS SRI MULYANI MUNDUR,negatif
78,Sri Mulyani Muncul Perdana di Publik seusai Rumah Dijarah dan Diisukan Mundur dari Menteri Keuangan Menteri Keuangan Sri Mulyani muncul perdana di publik seusai beredar isu pengunduran dirinya Sri Mulyani tampak hadir dalam sidang kabinet yang dipimpin Presiden Prabowo pada,negatif
79,BIN Wajib Investigasi Info Sri Mulyani Agen CIA dan Pertanggungjawaban Moral Menkeu Purbaya Harus Segera Mundur,negatif
80,Isu Sri Mulyani Mundur Begini Respons Ahmad Muzani di Istana,negatif
81,Bayangin sri mulyani mundur karena ini,negatif
82,Presiden Prabowo Subianto mengganti posisi Menkeu dari Sri Mulyani ke Purbaya Yudhi Sadewa Ada kabar Sri Mulyani mundur dari Kabinet Merah Putih Begini kata Istana,negatif
83,Sri Mulyani Indrawati yang resmi mundur dari jabatan Menteri Keuangan gak kuasa nahan air mata ketika staf Kemenkeu bawain lagu Bahasa Kalbu Lagu yang penuh makna itu seolah jadi ungkapan hati seluruh jajaran buat sosok Sri Mulyani,negatif
84,Sri Mulyani Mundur atau Dicopot dari Menkeu Ini Penjelasan Istana,negatif
85,Ekonom Ingatkan Dampak Risiko Rupiah dan IHSG Jika Sri Mulyani Mundur,negatif
86,konom Ingatkan Dampak Risiko Rupiah dan IHSG Jika Sri Mulyani Mundur,negatif
87,SRI MULYANI MUNDUR,negatif
88,Mahfud MD soal Sri Mulyani Dicopot Saya Dengar Sudah Dua Kali Mengajukan Mundur,negatif
89,Salah satu alasan utama yang mendorong Sri Mulyani untuk mundur adalah tragedi penjarahan rumahnya di kawasan Bintaro Peristiwa itu disebut membuat dirinya begitu terpukul Terimakasih amp Sehat selalu bu Sri Mulyani,negatif
90,Isu mundurnya Menteri Keuangan Sri Mulyani kembali mencuat Sejumlah ekonom menilai kabar ini berpotensi mengguncang pasar keuangan bila terbukti benar Baca di sini TA,negatif
91,Tolong rekapin kabar dunia satu minggu terakhir Baru tau bu Sri Mulyani udah mundur,negatif
92,Pegawai Kemenkeu ber pura pura sedih Sri Mulyani mundur Ya karena udah dikasih kenaikan 300,negatif
93,Kemarin nuntut sri mulyani mundur sekarang dikabulin malah bingung takut pemggantinya,negatif
94,Beda Sikap Sri Mulyani Saat Mundur Pada 2010 dan Diganti di Era Prabowo,negatif
95,Sri Mulyani Mundur atau Dicopot dari Menteri Keuangan Ini Jawaban Mensesneg,negatif
96,Cerita d Balik Sri Mulyani Mundur,negatif
97,Sri Mulyani mundur,negatif
98,Sri Mulyani Dikabarkan Mundur Wamen Keuangan hingga Menko Airlangga Pilih Bungkam,negatif
99,Cek Fakta Tidak Benar Ini Video Menteri Keuangan Sri Mulyani Mundur dari Kabinet,negatif
100,Pengamat Ungkap Kepemimpinan Prabowo hingga Sri Mulyani Diberhentikan atau Mundur sebagai Menkeu,negatif
101,sri mulyani beneran mundur ga si,negatif
102,sri mulyani mundur cukup berani kah yaa bukan sri mulyani nya tapi indonesia nya,negatif
103,Sudah seharusnya Sri mulyani mundur,negatif
104,Siapa yg diuntungkan kalo Sri Mulyani mundur,negatif
105,dan orang orang nangisin sri mulyani mundur puncak komedi,negatif
106,Sri Mulyani Mundur dari Kementerian Keuangan Ini Jawaban Mensesneg,negatif
107,Sedih liat sri mulyani mundur great women in the wrong country,negatif
108,Baiknya mundur sih bu Anda bukan orang yg tepat buat jalan ekonomi yg dipilih presiden Ngga perlu khawatir akan dikriminalisasi Prabowo ngga sepicik itu Hasto aja diberi amnesti Airlangga Bantah Sri Mulyani Mundur dari Kabinet Prabowo,negatif
109,Video Sri Mulyani Mundur atau Dicopot Ini Kata Istana,negatif
110,Airlangga Klarifikasi Isu Sri Mulyani Mundur dari Kabinet,negatif
111,Pengamat Ini Beberkan Sejumlah Dampak Bila Sri Mulyani Mundur sebagai Menkeu,negatif
