id,teks
522,Kebijakan impor dibahas kembali oleh Kementerian Keuangan
738,Budi buluk cengel apa dapet ingfoA1 dekat2 ini kalau sri Mulyani diganti kan Penggantinya ngeri nga buos
741,Pergantian Menteri Keuangan dianggap membawa risiko besar bagi masyarakat
661,Respons akademisi terhadap pergantian Menteri Keuangan semakin menguat
412,Reaksi demonstran terhadap Menteri Keuangan baru
679,Ternyata Bu Sri Mulyani bisa diganti juga
627,Presiden terpilih Prabowo Subianto diam diam sudah mengantongi nama Menteri Keuangan baru Siapa ya kira kira
514,Sri Mulyani direshuffle diganti Sri Lanka
860,Sri Mulyani Mundur atau Dicopot Istana Buka Suara
137,Pergantian Menteri Keuangan dan reshuffle kabinet mengguncang pasar keuangan Bagaimana pengelolaan fiskal oleh menteri baru
812,Well done Pak Merci beaucoup Jendral sdh menunjuk Pak Purbaya sbg menteri keuangan GOD Bless you all
77,BREAKING NEWS SRI MULYANI MUNDUR
637,Cek Fakta Tidak Benar Ini Video Menteri Keuangan Sri Mulyani Mundur dari Kabinet
974,kak pak purbaya menteri keuangan indo pake lagu GO
939,Demo BEM UI di DPR desak Purbaya Yudhi Sadewa dicopot dari Menteri Keuangan Baru beberapa hari jadi Menkeu mengganti Sri Mulyani sudah banyak drama bacot dan anaknya juga ikut ikutan Ada yg tidak beres nih attitudenya
900,Analis internasional menilai pergantian Menteri Keuangan berpotensi mengubah arah fiskal
281,Pak purbaya ya menteri keuangan Isinya saya lihat sharing bobrok nya pemerintah Busuknya birokrasi Itu yang bagi saya point pentingnya Jadi kalau daerah KEUANGAN sudah busuk sekali puluhan tahun Kenapa baru sekarang ramai
884,Fokus Presiden Kabar Pergantian Menteri Keuangan adalah Politik Fiksi
762,Ternyata utk menutupi tak ada perubahan pergantian menteri keuangan Purbaya sll menampilkan Gimmic2 Belaka
320,Menteri Keuangan Sri Mulyani berharap makin banyak investor yang tertarik untuk membiayai pemensiunan dini PLTU batu bara
550,Pergantian Menteri Keuangan dianggap membawa risiko besar bagi masyarakat
175,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya Yudhi Sadewa dipastikan tidak akan mengganggu rencana program kredit usaha rakyat bidang perumahan
372,Akademisi menilai pergantian Menteri Keuangan membuka babak baru kebijakan fiskal
528,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya Yudhi Sadewa dipastikan tidak akan mengganggu rencana program kredit usaha rakyat bidang perumahan
211,Menteri Keuangan baru ternyata sobat opung luhut dan pakde mulyono Bisa dipastikan nasib guru bakal lebih cerah
236,Presiden Erdogan menunjuk Menteri Keuangan Baru di tengah krisis keuangan
102,sri mulyani mundur cukup berani kah yaa bukan sri mulyani nya tapi indonesia nya
987,Reaksi netizen terhadap Menteri Keuangan baru beragam
903,Menteri Keuangan Purbaya Yudhi Sadewa membacakan sejumlah laporan masyarakat yang masuk lewat kanal Lapor Pak Purbaya Selengkapnya di video berikut ini
948,Perdagangan sesi 1 IHSG ditutup dengan turun 1 66 Transisi menteri keuangan membutuhkan waktu untuk menarik kepercayaan investor asing Pergantian Sri Mulyani tentu membuat pasar panik karena investor khawatir disiplin fiskal akan kendor
347,Purbaya Yudhi Sadewa resmi menjabat sebagai Menteri Keuangan menggantikan Sri Mulyani
