id,teks,clean_text,prediksi_emosi
522,Kebijakan impor dibahas kembali oleh Kementerian Keuangan,kebijakan impor dibahas kembali oleh kementerian keuangan,1
738,Budi buluk cengel apa dapet ingfoA1 dekat2 ini kalau sri Mulyani diganti kan Penggantinya ngeri nga buos,budi buluk cengel apa dapet ingfoa dekat ini kalau sri mulyani diganti kan penggantinya ngeri nga buos,1
741,Pergantian Menteri Keuangan dianggap membawa risiko besar bagi masyarakat,pergantian menteri keuangan dianggap membawa risiko besar bagi masyarakat,1
661,Respons akademisi terhadap pergantian Menteri Keuangan semakin menguat,respons akademisi terhadap pergantian menteri keuangan semakin menguat,1
412,Reaksi demonstran terhadap Menteri Keuangan baru,reaksi demonstran terhadap menteri keuangan baru,0
679,Ternyata Bu Sri Mulyani bisa diganti juga,ternyata bu sri mulyani bisa diganti juga,1
627,Presiden terpilih Prabowo Subianto diam diam sudah mengantongi nama Menteri Keuangan baru Siapa ya kira kira,presiden terpilih prabowo subianto diam diam sudah mengantongi nama menteri keuangan baru siapa ya kira kira,1
514,Sri Mulyani direshuffle diganti Sri Lanka,sri mulyani direshuffle diganti sri lanka,1
860,Sri Mulyani Mundur atau Dicopot Istana Buka Suara,sri mulyani mundur atau dicopot istana buka suara,1
137,Pergantian Menteri Keuangan dan reshuffle kabinet mengguncang pasar keuangan Bagaimana pengelolaan fiskal oleh menteri baru,pergantian menteri keuangan dan reshuffle kabinet mengguncang pasar keuangan bagaimana pengelolaan fiskal oleh menteri baru,1
812,Well done Pak Merci beaucoup Jendral sdh menunjuk Pak Purbaya sbg menteri keuangan GOD Bless you all,well done pak merci beaucoup jendral sdh menunjuk pak purbaya sbg menteri keuangan god bless you all,1
77,BREAKING NEWS SRI MULYANI MUNDUR,breaking news sri mulyani mundur,1
637,Cek Fakta Tidak Benar Ini Video Menteri Keuangan Sri Mulyani Mundur dari Kabinet,cek fakta tidak benar ini video menteri keuangan sri mulyani mundur dari kabinet,1
974,kak pak purbaya menteri keuangan indo pake lagu GO,kak pak purbaya menteri keuangan indo pake lagu go,1
939,Demo BEM UI di DPR desak Purbaya Yudhi Sadewa dicopot dari Menteri Keuangan Baru beberapa hari jadi Menkeu mengganti Sri Mulyani sudah banyak drama bacot dan anaknya juga ikut ikutan Ada yg tidak beres nih attitudenya,demo bem ui di dpr desak purbaya yudhi sadewa dicopot dari menteri keuangan baru beberapa hari jadi menkeu mengganti sri mulyani sudah banyak drama bacot dan anaknya juga ikut ikutan ada yg tidak beres nih attitudenya,1
900,Analis internasional menilai pergantian Menteri Keuangan berpotensi mengubah arah fiskal,analis internasional menilai pergantian menteri keuangan berpotensi mengubah arah fiskal,1
281,Pak purbaya ya menteri keuangan Isinya saya lihat sharing bobrok nya pemerintah Busuknya birokrasi Itu yang bagi saya point pentingnya Jadi kalau daerah KEUANGAN sudah busuk sekali puluhan tahun Kenapa baru sekarang ramai,pak purbaya ya menteri keuangan isinya saya lihat sharing bobrok nya pemerintah busuknya birokrasi itu yang bagi saya point pentingnya jadi kalau daerah keuangan sudah busuk sekali puluhan tahun kenapa baru sekarang ramai,1
884,Fokus Presiden Kabar Pergantian Menteri Keuangan adalah Politik Fiksi,fokus presiden kabar pergantian menteri keuangan adalah politik fiksi,1
762,Ternyata utk menutupi tak ada perubahan pergantian menteri keuangan Purbaya sll menampilkan Gimmic2 Belaka,ternyata utk menutupi tak ada perubahan pergantian menteri keuangan purbaya sll menampilkan gimmic belaka,1
320,Menteri Keuangan Sri Mulyani berharap makin banyak investor yang tertarik untuk membiayai pemensiunan dini PLTU batu bara,menteri keuangan sri mulyani berharap makin banyak investor yang tertarik untuk membiayai pemensiunan dini pltu batu bara,0
550,Pergantian Menteri Keuangan dianggap membawa risiko besar bagi masyarakat,pergantian menteri keuangan dianggap membawa risiko besar bagi masyarakat,1
175,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya Yudhi Sadewa dipastikan tidak akan mengganggu rencana program kredit usaha rakyat bidang perumahan,pergantian menteri keuangan dari sri mulyani ke purbaya yudhi sadewa dipastikan tidak akan mengganggu rencana program kredit usaha rakyat bidang perumahan,1
372,Akademisi menilai pergantian Menteri Keuangan membuka babak baru kebijakan fiskal,akademisi menilai pergantian menteri keuangan membuka babak baru kebijakan fiskal,1
528,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya Yudhi Sadewa dipastikan tidak akan mengganggu rencana program kredit usaha rakyat bidang perumahan,pergantian menteri keuangan dari sri mulyani ke purbaya yudhi sadewa dipastikan tidak akan mengganggu rencana program kredit usaha rakyat bidang perumahan,1
211,Menteri Keuangan baru ternyata sobat opung luhut dan pakde mulyono Bisa dipastikan nasib guru bakal lebih cerah,menteri keuangan baru ternyata sobat opung luhut dan pakde mulyono bisa dipastikan nasib guru bakal lebih cerah,1
236,Presiden Erdogan menunjuk Menteri Keuangan Baru di tengah krisis keuangan,presiden erdogan menunjuk menteri keuangan baru di tengah krisis keuangan,1
